Population,pop_label,Individual,indv_label,sample,order,Color,pch,cex
*,*,*,*,0,20,#ff6666,*,0.8
POL,POL,*,*,0,30,#ffb966,P,0.8
BOR,BOR,*,*,0,40,#f1ff73,B,0.8
FIJ,FIJ,*,*,0,50,#9dffc7,F,0.8
JPT,JPT,*,*,0,60,#66ff81,J,0.8
CHB,CHB,*,*,0,70,#66ffd5,C,0.8
YRI,YRI,*,*,0,80,#66d5ff,Y,0.8
CEU,CEU,*,*,0,90,#6681ff,C,0.8
NGH,NGH,*,*,0,100,#9d66ff,N,0.8
POL,NA,Pl26,Pl26,0,110,#ff6666,k,0.8
POL,NA,Pl27,Pl27,0,120,#ff6966,8,0.8
POL,NA,Pl25,Pl25,0,130,#ff6c66,0,0.8
POL,NA,Pl21,Pl21,0,140,#ff6f66,U,0.8
POL,NA,Pl28,Pl28,0,150,#ff7266,Q,0.8
POL,NA,Pl29,Pl29,0,160,#ff7566,W,0.8
POL,NA,Pl31,Pl31,0,170,#ff7866,b,0.8
POL,NA,Pl30,Pl30,0,180,#ff7b66,F,0.8
POL,NA,Pl32,Pl32,0,190,#ff7e66,q,0.8
POL,NA,Pl35,Pl35,0,200,#ff8166,U,0.8
POL,NA,Pl4,Pl4,0,210,#ff8566,s,0.8
POL,NA,Pl3,Pl3,0,220,#ff8866,d,0.8
POL,NA,Pl08,Pl08,0,230,#ff8b66,O,0.8
POL,NA,Pl05,Pl05,0,240,#ff8e66,W,0.8
POL,NA,Pl06,Pl06,0,250,#ff9166,N,0.8
POL,NA,Pl07,Pl07,0,260,#ff9466,t,0.8
POL,NA,Pl19,Pl19,0,270,#ff9766,g,0.8
POL,NA,Pl13,Pl13,0,280,#ff9a66,u,0.8
POL,NA,Pl11,Pl11,0,290,#ff9d66,5,0.8
BOR,NA,Bo18,Bo18,0,300,#ffa066,C,0.8
BOR,NA,Bo19,Bo19,0,310,#ffa466,N,0.8
BOR,NA,Bo13,Bo13,0,320,#ffa766,u,0.8
BOR,NA,Bo10,Bo10,0,330,#ffaa66,O,0.8
BOR,NA,Bo11,Bo11,0,340,#ffad66,J,0.8
BOR,NA,Bo16,Bo16,0,350,#ffb066,6,0.8
BOR,NA,Bo17,Bo17,0,360,#ffb366,Y,0.8
BOR,NA,Bo15,Bo15,0,370,#ffb666,E,0.8
BOR,NA,Bo07,Bo07,0,380,#ffb966,3,0.8
BOR,NA,Bo06,Bo06,0,390,#ffbc66,e,0.8
BOR,NA,Bo09,Bo09,0,400,#ffbf66,g,0.8
BOR,NA,Bo08,Bo08,0,410,#ffc366,1,0.8
BOR,NA,Bo1,Bo1,0,420,#ffc666,2,0.8
BOR,NA,Bo2,Bo2,0,430,#ffc966,t,0.8
BOR,NA,Bo3,Bo3,0,440,#ffcc66,I,0.8
BOR,NA,Bo4,Bo4,0,450,#ffcf66,k,0.8
BOR,NA,Bo5,Bo5,0,460,#ffd266,q,0.8
BOR,NA,Bo23,Bo23,0,470,#ffd566,c,0.8
BOR,NA,Bo22,Bo22,0,480,#ffd866,N,0.8
BOR,NA,Bo26,Bo26,0,490,#ffdb66,D,0.8
