Population,pop_label,Individual,indv_label,sample,order,Color,pch,cex
*,*,*,*,0,20,#ff6666,*,0.8
Orcadian,Orcadian,*,*,0,30,#ff7666,O,0.8
Adygei,Adygei,*,*,0,40,#ff8666,A,0.8
Russian,Russian,*,*,0,50,#ff9766,R,0.8
Basque,Basque,*,*,0,60,#ffa766,B,0.8
French,French,*,*,0,70,#ffb766,F,0.8
Italian,Italian,*,*,0,80,#ffc866,I,0.8
Sardinian,Sardinian,*,*,0,90,#ffd866,S,0.8
Tuscan,Tuscan,*,*,0,100,#ffe966,T,0.8
Mozabite,Mozabite,*,*,0,110,#fff966,M,0.8
Bedouin,Bedouin,*,*,0,120,#f4ff70,B,0.8
Druze,Druze,*,*,0,130,#e3ff81,D,0.8
Palestinian,Palestinian,*,*,0,140,#d3ff91,P,0.8
Balochi,Balochi,*,*,0,150,#c2ffa2,B,0.8
Brahui,Brahui,*,*,0,160,#b2ffb2,B,0.8
Burusho,Burusho,*,*,0,170,#a2ffc2,B,0.8
Hazara,Hazara,*,*,0,180,#91ffd3,H,0.8
Kalash,Kalash,*,*,0,190,#81ffe3,K,0.8
Makrani,Makrani,*,*,0,200,#70fff4,M,0.8
Pathan,Pathan,*,*,0,210,#66ff6b,P,0.8
Sindhi,Sindhi,*,*,0,220,#66ff7b,S,0.8
Melanesian,Melanesian,*,*,0,230,#66ff8c,M,0.8
Papuan,Papuan,*,*,0,240,#66ff9c,P,0.8
Colombian,Colombian,*,*,0,250,#66ffad,C,0.8
Karitiana,Karitiana,*,*,0,260,#66ffbd,K,0.8
Surui,Surui,*,*,0,270,#66ffcd,S,0.8
Maya,Maya,*,*,0,280,#66ffde,M,0.8
Pima,Pima,*,*,0,290,#66ffee,P,0.8
BantuSouthAfrica,BantuSouthAfrica,*,*,0,300,#66ffff,B,0.8
BantuKenya,BantuKenya,*,*,0,310,#66eeff,B,0.8
Mandenka,Mandenka,*,*,0,320,#66deff,M,0.8
Yoruba,Yoruba,*,*,0,330,#66cdff,Y,0.8
BiakaPygmy,BiakaPygmy,*,*,0,340,#66bdff,B,0.8
MbutiPygmy,MbutiPygmy,*,*,0,350,#66adff,M,0.8
San,San,*,*,0,360,#669cff,S,0.8
Han,Han,*,*,0,370,#668cff,H,0.8
Han-NChina,Han-NChina,*,*,0,380,#667bff,H,0.8
Dai,Dai,*,*,0,390,#666bff,D,0.8
Daur,Daur,*,*,0,400,#7066ff,D,0.8
Hezhen,Hezhen,*,*,0,410,#8166ff,H,0.8
Lahu,Lahu,*,*,0,420,#9166ff,L,0.8
Miao,Miao,*,*,0,430,#a266ff,M,0.8
Oroqen,Oroqen,*,*,0,440,#b266ff,O,0.8
She,She,*,*,0,450,#c266ff,S,0.8
Tujia,Tujia,*,*,0,460,#d366ff,T,0.8
Tu,Tu,*,*,0,470,#e366ff,T,0.8
Xibo,Xibo,*,*,0,480,#f466ff,X,0.8
Yi,Yi,*,*,0,490,#ff66f9,Y,0.8
Mongola,Mongola,*,*,0,500,#ff66e9,M,0.8
Naxi,Naxi,*,*,0,510,#ff66d8,N,0.8
Uygur,Uygur,*,*,0,520,#ff66c8,U,0.8
Cambodian,Cambodian,*,*,0,530,#ff66b7,C,0.8
Japanese,Japanese,*,*,0,540,#ff66a7,J,0.8
Yakut,Yakut,*,*,0,550,#ff6697,Y,0.8
Orcadian,NA,HGDP00794,HGDP00794,0,560,#ff6666,P,0.8
Orcadian,NA,HGDP00795,HGDP00795,0,570,#ff6666,o,0.8
Orcadian,NA,HGDP00796,HGDP00796,0,580,#ff6766,E,0.8
Orcadian,NA,HGDP00797,HGDP00797,0,590,#ff6866,n,0.8
Orcadian,NA,HGDP00798,HGDP00798,0,600,#ff6966,v,0.8
Orcadian,NA,HGDP00799,HGDP00799,0,610,#ff6a66,C,0.8
Orcadian,NA,HGDP00800,HGDP00800,0,620,#ff6b66,W,0.8
Orcadian,NA,HGDP00802,HGDP00802,0,630,#ff6c66,I,0.8
Orcadian,NA,HGDP00803,HGDP00803,0,640,#ff6d66,R,0.8
Orcadian,NA,HGDP00804,HGDP00804,0,650,#ff6e66,s,0.8
Orcadian,NA,HGDP00805,HGDP00805,0,660,#ff6f66,A,0.8
Orcadian,NA,HGDP00806,HGDP00806,0,670,#ff7066,e,0.8
Orcadian,NA,HGDP00807,HGDP00807,0,680,#ff7166,L,0.8
Orcadian,NA,HGDP00808,HGDP00808,0,690,#ff7266,j,0.8
Orcadian,NA,HGDP00810,HGDP00810,0,700,#ff7366,C,0.8
Adygei,NA,HGDP01381,HGDP01381,0,710,#ff7466,o,0.8
Adygei,NA,HGDP01382,HGDP01382,0,720,#ff7566,1,0.8
Adygei,NA,HGDP01383,HGDP01383,0,730,#ff7666,o,0.8
Adygei,NA,HGDP01384,HGDP01384,0,740,#ff7766,t,0.8
Adygei,NA,HGDP01385,HGDP01385,0,750,#ff7866,7,0.8
Adygei,NA,HGDP01386,HGDP01386,0,760,#ff7966,n,0.8
Adygei,NA,HGDP01387,HGDP01387,0,770,#ff7a66,k,0.8
Adygei,NA,HGDP01388,HGDP01388,0,780,#ff7b66,r,0.8
Adygei,NA,HGDP01396,HGDP01396,0,790,#ff7c66,x,0.8
Adygei,NA,HGDP01397,HGDP01397,0,800,#ff7d66,l,0.8
Adygei,NA,HGDP01398,HGDP01398,0,810,#ff7e66,y,0.8
Adygei,NA,HGDP01399,HGDP01399,0,820,#ff7f66,h,0.8
Adygei,NA,HGDP01400,HGDP01400,0,830,#ff8066,L,0.8
Adygei,NA,HGDP01401,HGDP01401,0,840,#ff8166,n,0.8
Adygei,NA,HGDP01402,HGDP01402,0,850,#ff8266,v,0.8
Adygei,NA,HGDP01403,HGDP01403,0,860,#ff8366,I,0.8
